Kurbelwinkel	dQ1	dQ2	IntQ1	IntQ2	
Grad	kJ/m3Grd		kJ/m3		
265,00	-8,809		827,1		
266,00	-4,029		820,6		
267,00	-4,017		816,6		
268,00	-4,846		812,2		
269,00	-2,569		808,5		
270,00	-2,639		805,9		
271,00	-1,264		803,9		
272,00	-9,184		798,7		
273,00	-9,215		789,5		
274,00	-3,351		783,2		
275,00	-6,857		778,1		
276,00	-4,088		772,6		
277,00	-2,739		769,2		
278,00	-5,410		765,2		
279,00	-4,759		760,1		
280,00	-5,335		755,0		
281,00	-5,959		749,4		
282,00	-2,199		745,3		
283,00	-2,824		742,8		
284,00	-3,509		739,6		
285,00	-2,922		736,4		
286,00	-5,275		732,3		
287,00	-5,813		726,8		
288,00	-5,174		721,3		
289,00	-4,028		716,7		
290,00	-7,185		711,1		
291,00	-4,542		705,2		
292,00	-0,236		702,8		
293,00	-3,960		700,7		
294,00	-4,462		696,5		
295,00	-4,410		692,1		
296,00	-4,858		687,4		
297,00	-4,319		682,8		
298,00	-2,447		679,5		
299,00	-2,012		677,2		
300,00	-4,729		673,9		
301,00	-3,407		669,8		
302,00	-2,055		667,1		
303,00	-4,224		663,9		
304,00	-4,976		659,3		
305,00	-3,715		655,0		
306,00	-2,869		651,7		
307,00	-4,005		648,2		
308,00	-3,599		644,4		
309,00	-2,467		641,4		
310,00	-2,823		638,8		
311,00	-3,184		635,8		
312,00	-2,799		632,8		
313,00	-3,778		629,5		
314,00	-5,352		624,9		
315,00	-3,954		620,3		
316,00	-1,968		617,3		
317,00	-1,996		615,3		
318,00	-3,464		612,6		
319,00	-12,258		604,7		
320,00	-4,151		596,5		
321,00	4,530		596,7		
322,00	-3,121		597,4		
323,00	-2,809		594,5		
324,00	-1,953		592,1		
325,00	-3,668		589,3		
326,00	-3,846		585,5		
327,00	-2,955		582,1		
328,00	-2,424		579,4		
329,00	-1,454		577,5		
330,00	-1,441		576,0		
331,00	-2,259		574,2		
332,00	-2,416		571,8		
333,00	-1,510		569,9		
334,00	-2,471		567,9		
335,00	-2,217		565,5		
336,00	-1,695		563,6		
337,00	-2,222		561,6		
338,00	-1,586		559,7		
339,00	-1,865		558,0		
340,00	-1,794		556,2		
341,00	-1,524		554,5		
342,00	-1,789		552,9		
343,00	-1,045		551,4		
344,00	-1,274		550,3		
345,00	-1,064		549,1		
346,00	-2,064		547,5		
347,00	-1,532		545,7		
348,00	-0,183		544,9		
349,00	-1,050		544,3		
350,00	-0,803		543,3		
351,00	-1,301		542,3		
352,00	0,220		541,8		
353,00	-0,272		541,7		
354,00	-1,207		541,0		
355,00	-0,123		540,3		
356,00	-0,042		540,2		
357,00	-0,793		539,8		
358,00	-0,580		539,1		
359,00	0,332		539,0		
360,00	0,000		539,2		
